,H013-PiG:LAnkleAngles,,,H013-PiG:LElbowAngles,,,H013-PiG:LHipAngles,,,H013-PiG:LKneeAngles,,,H013-PiG:LShoulderAngles,,,H013-PiG:LThoraxAngles,,,H013-PiG:LWristAngles,,,H013-PiG:RAnkleAngles,,,H013-PiG:RElbowAngles,,,H013-PiG:RHipAngles,,,H013-PiG:RKneeAngles,,,H013-PiG:RShoulderAngles,,,H013-PiG:RSpineAngles,,,H013-PiG:RThoraxAngles,,,H013-PiG:RWristAngles,,
Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg
21,4.65021,8.33085,-30.0107,39.4895,7.95E-16,-1.21E-12,67.6563,-12.0568,29.4502,67.5538,39.9184,15.645,29.7638,19.8204,32.4134,-5.45225,5.16948,172.218,-6.06318,46.802,111.513,-11.4644,-0.856746,-5.79311,39.6274,1.59E-15,8.84E-13,83.5766,-0.0652883,-7.54532,85.7651,-19.3025,-7.81163,19.0535,18.2286,15.8816,9.40427,-4.55631,-4.55395,-5.45225,-5.16948,-172.218,45.8375,21.8256,40.4441
22,4.65139,8.33699,-30.0272,39.4904,-3.18E-15,-3.47E-13,67.6535,-12.0607,29.4651,67.5446,39.9371,15.6568,29.7638,19.8201,32.4083,-5.45438,5.16994,172.219,-6.06256,46.7974,111.514,-11.4631,-0.85638,-5.78972,39.6286,0,-1.78E-12,83.5777,-0.0654923,-7.54538,85.7668,-19.302,-7.81437,19.053,18.2254,15.8744,9.40559,-4.55703,-4.55439,-5.45438,-5.16994,-172.219,45.8528,21.804,40.4415
23,4.65264,8.34286,-30.043,39.4913,3.18E-15,-4.39E-13,67.6509,-12.0644,29.4794,67.5357,39.9548,15.668,29.764,19.82,32.403,-5.45672,5.1705,172.22,-6.06232,46.7929,111.515,-11.4618,-0.856026,-5.78644,39.6298,2.39E-15,1.18E-12,83.5787,-0.0657391,-7.54541,85.7684,-19.3014,-7.817,19.0529,18.222,15.8672,9.40711,-4.55783,-4.55473,-5.45672,-5.1705,-172.22,45.8682,21.7832,40.4391
24,4.65392,8.34842,-30.0579,39.4922,7.95E-16,1.78E-13,67.6484,-12.068,29.493,67.5271,39.9718,15.6784,29.7645,19.8199,32.3974,-5.45932,5.17119,172.222,-6.06275,46.7884,111.515,-11.4604,-0.855668,-5.78313,39.631,-7.95E-16,-8.11E-13,83.5797,-0.0660076,-7.54541,85.7699,-19.3007,-7.81969,19.053,18.2185,15.86,9.40893,-4.55869,-4.55501,-5.45932,-5.17119,-172.222,45.8835,21.7634,40.437
25,4.65521,8.35365,-30.0719,39.4931,-3.18E-15,-2.47E-12,67.646,-12.0715,29.5059,67.5189,39.988,15.688,29.7652,19.8199,32.3918,-5.46214,5.17202,172.223,-6.06387,46.7838,111.514,-11.4589,-0.855295,-5.77967,39.6321,7.95E-16,-2.35E-13,83.5806,-0.0663016,-7.54536,85.7712,-19.3,-7.82257,19.0533,18.2149,15.8527,9.41096,-4.55965,-4.55525,-5.46214,-5.17202,-172.223,45.8984,21.745,40.435
26,4.65649,8.35853,-30.085,39.4941,0,1.05E-12,67.6437,-12.0748,29.5182,67.511,40.0034,15.6968,29.7662,19.8199,32.3861,-5.46523,5.173,172.224,-6.06582,46.7793,111.512,-11.4574,-0.854896,-5.77597,39.6332,3.18E-15,-2.40E-12,83.5814,-0.066615,-7.5453,85.7723,-19.2993,-7.82576,19.054,18.2113,15.8456,9.41332,-4.56067,-4.55545,-5.46523,-5.173,-172.224,45.9126,21.7282,40.4331
27,4.65774,8.36306,-30.0972,39.4952,3.18E-15,8.94E-13,67.6415,-12.0779,29.5297,67.5035,40.0179,15.7047,29.7674,19.8201,32.3803,-5.46854,5.17413,172.226,-6.06848,46.7748,111.51,-11.4559,-0.854464,-5.77197,39.6344,-3.98E-16,7.57E-13,83.5822,-0.0669653,-7.54522,85.7732,-19.2985,-7.82931,19.0548,18.2076,15.8386,9.41597,-4.56179,-4.55564,-5.46854,-5.17413,-172.226,45.926,21.7135,40.4314
28,4.65895,8.36722,-30.1083,39.4963,7.95E-16,7.03E-13,67.6395,-12.0808,29.5406,67.4963,40.0316,15.7117,29.7689,19.8204,32.3746,-5.47207,5.17544,172.227,-6.07193,46.7704,111.508,-11.4544,-0.853998,-5.76766,39.6357,1.59E-15,5.03E-13,83.5829,-0.0673409,-7.54517,85.774,-19.2977,-7.83324,19.056,18.204,15.8317,9.4189,-4.56298,-4.55583,-5.47207,-5.17544,-172.227,45.9385,21.7011,40.4298
29,4.6601,8.37104,-30.1185,39.4975,-7.95E-16,-1.95E-12,67.6375,-12.0835,29.5509,67.4896,40.0445,15.7178,29.7707,19.8207,32.3688,-5.47583,5.17693,172.228,-6.07619,46.7661,111.504,-11.453,-0.853498,-5.76302,39.637,-1.99E-15,-9.70E-13,83.5834,-0.0677656,-7.54514,85.7745,-19.297,-7.83753,19.0573,18.2005,15.8249,9.42216,-4.56426,-4.55603,-5.47583,-5.17693,-172.228,45.9497,21.6913,40.4283
30,4.66119,8.37452,-30.1279,39.4988,1.59E-15,-1.30E-12,67.6357,-12.086,29.5606,67.4831,40.0567,15.7231,29.7727,19.8211,32.3632,-5.47979,5.1786,172.23,-6.0811,46.7619,111.5,-11.4516,-0.852971,-5.75814,39.6384,3.58E-15,1.81E-12,83.5839,-0.0682425,-7.54515,85.7749,-19.2962,-7.8421,19.0588,18.1971,15.8183,9.42569,-4.56561,-4.55625,-5.47979,-5.1786,-172.23,45.9596,21.6845,40.427
